Binário,Char,6T
11110000,­­,11001111 + 0 - 0 0 +
11110001,±,11010000 + - 0 + - +
11110010,‗,11010001 0 + - - + +
11110011,¾,11010010 0 + - + - +
11110100,¶,11010011 0 + - + + -
11110101,§,11010100 + - 0 + + -
11110110,÷,11010101 - 0 + - + +
11110111,¸,11010110 - 0 + + - +
11111000,°,11010111 - 0 + + + -
11111001,¨,11011000 + - 0 0 + 0
11111010,·,11011001 0 + - + 0 0
11111011,¹,11011010 0 + - 0 + 0
11111100,³,11011011 0 + - 0 0 +
11111101,²,11011100 + - 0 0 0 +
11111110,■,11011101 - 0 + + 0 0
11111111,,11011110 - 0 + 0 + 0
,,11011111 - 0 + 0 0 +
,,11100000 - + + 0 - +
,,11100001 + - + - + 0
,,11100010 + - + 0 - +
,,11100011 + - + + 0 -
,,11100100 - + + + 0 -
,,11100101 + + - - + 0
,,11100110 + + - 0 - +
,,11100111 + + - + 0 -
,,11101000 - + + 0 + -
,,11101001 + - + + - 0
,,11101010 + - + 0 + -
,,11101011 + - + - 0 +
,,11101100 - + + - 0 +
,,11101101 + + - + - 0
,,11101110 + + - 0 + -
,,11101111 + + - - 0 +
,,11110000 + 0 0 0 - +
,,11110001 0 + 0 - + 0
,,11110010 0 + 0 0 - +
,,11110011 0 + 0 + 0 -
,,11110100 + 0 0 + 0 -
,,11110101 0 0 + - + 0
,,11110110 0 0 + 0 - +
,,11110111 0 0 + + 0 -
,,11111000 + 0 0 0 + -
,,11111001 0 + 0 + - 0
,,11111010 0 + 0 0 + -
,,11111011 0 + 0 - 0 +
,,11111100 + 0 0 - 0 +
,,11111101 0 0 + + - 0
,,11111110 0 0 + 0 + -
,,11111111 0 0 + - 0 +
